"Part Type","Designator","Footprint","Description"
"1M","R2","axial0.6","standard resistor"
"1k x 4","RA1","SIP5",""
"10n, 250V=","C10","Rad0.3",""
"10n","C11","0805",""
"10n","C12","0805",""
"20MHz 2/3pol","X1","",""
"20PIN","CN1","IDC20",""
"20PIN","CN2","IDC20",""
"22k 1%","R1","0805","standard resistor"
"22p","C13","0805",""
"22p","C14","0805",""
"39R 1%","R6","0805","standard resistor"
"39R","R5","0805","standard resistor"
"39R","R3","0805","standard resistor"
"39R","R4","0805","standard resistor"
"93C46 (ATMEL)","U1","DIP8","serielles EEPROM z. B. 93C46"
"100R","R15","1206","standard resistor"
"100n","C2","",""
"100n","C3","",""
"100n","C1","",""
"100n","C9","",""
"100n","C8","",""
"100n","C4","",""
"100n","C6","",""
"100n","C7","",""
"100n","C5","",""
"100n","C30","0805",""
"100n","C32","0805",""
"100n","C33","0805",""
"100n","C31","0805",""
"120R","R30","1206",""
"120R","R14","1206",""
"120R","R13","1206",""
"120R","R11","1206",""
"120R","R12","1206",""
"120R","R31","1206",""
"120R","R32","1206",""
"120R","R33","1206",""
"75 1%","R8","1206","standard resistor"
"75 1%","R10","1206","standard resistor"
"75 1%","R7","1206","standard resistor"
"75 1%","R9","1206","standard resistor"
"BNC","CN3","BNC",""
"CAP","C15","Rad0.4",""
"EM2C-ETHERMODUL","JP2","EM2C",""
"HEADER 4X2","JP1","HDR2x4",""
"LAN91C96QFP","U2","PQFP100","Ethernet-Controller ISA (SMSC)"
"LED","D4","",""
"LED","D3","LED",""
"LED","D1","LED",""
"LED","D2","LED",""
"PE68056","TR1","Pulse",""
"RJ45A","CN4","RJ45",""
