"Name","Botanical_Name","System_Affected","Properties","Description","Origin","Notes","Toxicity","Dosage","Type"
"Alfalfa (Lucerne)","Medicago sativa","blood,teeth,asthma,arthritis,carotene,estrogen","Source of carotene (Vit A), reduces fevers, blood ¤purifier.  Has natural fluoride; prevents tooth decay.¤excellant for asthma, arthritis, diabetes, digestion¤weight gaining, strength gaining¤Estrogen replacement¤endometriosis","","","","none","tea: 1oz/1pint hot water","Herb"
"Aloe (Aloe Vera)","Liliacae Family; aloe socotrina","healing sores, colon, acne, blood pressure, skin","Heals sores outside body; burns, sunburn, effects of ¤poisonous plants¤Cleans colon; constipation, laxative¤External: Remedy for piles and hemerrhoids; excellent for ¤acne, skin, wrinkles, arthritis, itching, sunburn, ¤swelling.¤excellent for blood pressure, diabetes, digestion¤chest¤HIV","wide juicy stems","S. Africa, Dutch West Indies","","none","","Herb"
"Astragalus (Huang Qi)","Astragalus, Membranaceus; various species","energizer, circulation, hypertension, weight loss","Increses energy reserves, expecially in legs and arms.¤Keeps body warm in cold.¤immune system, infections, HIV, viral infections¤myasthenia gravis, peripheral vascular disease¤whole body tonic¤age and stress resistance¤weight loss¤asthma, hay fever¤cardiac arrhythmia¤pneumonia","","","also known as Chinese Milkvetch","none","","Herb"
"Bee pollen","","all; vitamins, amino acids, hormones","has all 22 basic elements for human body (vitamins, amino ¤acids, hormones, etc.).¤healing, diseases, aging, fatigue, acne, sexual, alergies, ¤digestive, throat, prostate, and more.¤blood purifier, circulation, energy, hair, skin, immunity","pollen","bees","more protein per gram than meat, eggs, or cheese","none","","Animal"
"Bilberry Leaf","Vaccinium Myrtillus","eyes,visual,circulation/blood,gums,veins,angina","  Strengthens capillaries that feed eye muscles & nerves, ¤reverses damage caused by blood vessel deterioration.¤Increase night vision.  cataracts, myopia,¤  Astringent, blood purpuras, CNS vascular disturbances,¤diabetes, diabetic cataracts & vascular complications¤bleeding gums, heart, hemorrhages, hemorrhoids, phlebitis ¤hypertension, skin, varicose veins¤menstrual cramps¤ulcers","leaf of plant","","","none","","Herb"
"Black Cohosh (Black Snakeroot)","Cimicifuga Racemosa","menstruation,arthritis,asthma,Menopause,Amenorrhea","Regulate menstrual flow, mentrual cramps.¤Same effects as synthetic estrogen but w/out side effects ¤& no cancer-causing agents.¤Arthritis,Asthma,High Blood Pressure,Bronchitis, ¤Circulation,Convulsions,Cramps,Coughs,Diabetes,¤Diarrhea,Headaches,Hormones,Hot Flashes,Kidney,Liver, ¤Lung, Lumbago, nervous disorder,¤Rheumatism, Thyroid¤Tinnitus","woodland plant","North America","","none; dose: 5-6 grains(1-3 for children)","","Herb"
"Blessed Thistle","Cnicus Benedictus","stomach, heart, liver, brain, circulation, HIV","stimulant tonic for stomach and heart.¤Aids circulation.¤Helps resolve liver problems.¤Takes oxygen to brain and strengthens memory.¤circulation¤HIV","","","Also called: Holy Thistle, bitterweed","none","","Herb"
"DHA (Docosahexaenoic Acid)","","lungs, cystic fibrosis","reverses cystic fibrosis and mucus accumulation in lungs","","","","","","Other"
"Burdock Leaf & Root (Gobo)","Arctium Lappa, Takinogawa Long","blood, toxins, skin, arthritis, eyes, glands","cleanses glands¤Removes toxins from body.¤liver¤Blood purifier and cleanser, rheumatism, gout, lungs, ¤nasal passages¤Excellent for severe skin problems, acne. Good for ¤advanced arthritis.¤dandruff¤eyes, stomach tonic¤hemorrhoids, sores, psoriasis, stimulates urine¤HIV, PMS-related bloating","has purple tubular flowers","Europe, Asia, N. America","dissolve herb in alcohol for use","none","","Herb"
"Cascara Sagrada (Dogwood)","Rhamnus Purshianus","bowels, constipation, hemorrhoids, gall stones","Excellent remedy for chronic constipation.¤Stimulate secretions of entire digestive system.¤Remedy for gallstones.  liver, gout, piles, gas¤Valuable when hemorrhoids associated with poor bowel ¤movement.¤cathartic, cholalogue, anti-bacterial/biotic¤purgative¤insomnia","bark from a small tree","","","Avoid during Pregnancy","","Herb"
"Cayenne (Capsicum, red pepper)","Capsicum, various species","blood pressure, circulatory system, arteries, pain","Normalize blood pressure¤Improve entire circulatory system,diabetes¤Feed cell structure of arteries,veins,capillaries to ¤regain elasticity.¤Best Stimulant;starts healing & cleansing.¤Stop bleeding on contact¤asthma,digestion,ulcer¤disease F/ exposure, colds¤backache¤anti-inflamatory, bunions¤dry mouth¤fever, pain, headache¤weight loss¤externally: arthritis,pain,skin,herpes,psoriasis,shingles, ¤Raynaud's Disease (mix w/ vegetable oil and rub)","","","very important herb; a spice","none","5-20 grains in water","Herb"
"Chickweed","Stellaria Media","anti-toxin, removes plague, Vit C, healing","Rich in vitamin C and minerals (calcium, magnesium, ¤potassium)¤Carries toxins from body.¤Dissolves plaque in blood; circulation.¤Heal & soothe anything it comes in contact with.¤boils, skin, ulcers¤Impotence¤constipation¤eye¤weight loss","","","can be used in salads","none","","Herb"
"Coltsfoot","Tussilago Farfara","mucus membranes, lungs, phlegm","Soothes mucus membranes.¤Improves lung troubles.¤Relieves chest of phlegm.¤Useful for asthma, bronchitis, spasmodic coughs.¤","flowers and leaves of flower","","","more than 3 tsp/day could damage liver","","Herb"
"Cornsilk","Zea Mays","prostate gland, Kidney, bladder, swelling","Used for trouble with prostate gland.¤Remedy for kidney & bladder¤diuretic¤swelling (2oz dried, twice/day)","stringy silk part of corn cob","","","none","","Herb"
"Cranberry","Vaccinium Macrocarpon","Kidney, Bladder, urinary","Keeps kidneys clean; good vs kidney infection.¤Overnight relief vs urination.¤maintain pH balance in urinary tract¤vision¤candida yeast infections¤slows breast cancer","","","has Vitamins C, E","none","","Herb"
"Damiana","Turnera Aphrodisiaca or Turnera Diffusa","Sexual impotence, fertility, aphrodisiac, nerves","sexual impotency and fertility, both male and female.¤Strengthens reproductive organs.¤Helps with menopause, hot flashes¤Intestines, kidney (increased urine flow)¤tonic for nervous system, headaches, mild paralysis","leaf of small shrub/tree","southwest U.S.","","none","1tsp ground leaf to 1 cup water; 1tbl 2Xs/day","Herb"
"Dandelion","Taraxacum Officinale","liver, blood, skin, diuretic, kidney, organs","Detoxify poisons in liver; bowel, fluid accumulation¤pneumonia, upper respiratory¤Lowers blood pressure, tuberculosis of lymphatic gland, ¤swelling¤diabetes¤skin diseases, scurvy, bones, osteoporosis¤heart, kidney, spleen, stomach, pancreas¤moderate purgative, diuretic¤female organs¤eaten green (in salad): purify blood & destroy acids in ¤blood, releaves anemic conditions¤memory¤tonsillitus(simmer 1oz root in 2-3 cups water)¤external: warts, acne, age spots","dried root & roots of herb","","roots can be baked/dried and ground into coffee","none","","Herb"
"Dong Quai (Chinese Angelica)","Angelica Sinensis","menopause; Vitamins B-12, E, blood, nerves, PMS","decrease discomfort of menopause and post-menopause.¤Rich in vitamins B-12, E¤menstrual, PMS, menstrual cramps¤Atherosclerosis, arteriosclerosis, amenorrhea¤cholesterol, high blood pressure, vascular, anemia,¤analgesic, anti-inflamatory, anti-spasmodic¤convalescence, debility, sedativem uterine¤dysmenorrhea, edema, immune system, inflamation, liver¤vitality¤female sexual & tonic¤sciatica (use as tea or tincture), shingles","root","","has vitamins B-12, E","Avoid during Pregnancy","","Herb"
"Yeast, Brewer's","","source B vitamins","has B vitamins¤also large amounts of other vitamins, minerals, and amino ¤acids","","anywhere","used in baking","none","","Other"
"Fennel Seed","Foeniculum Vulgare","gas, stomach, obesity, liver, eyes, aphrodisiac","Remedy vs gas, acid stomach, gout, cramp, spasms, ¤heartburn.¤Excellent obesity fighter.¤eyes, Good eyewash.¤Liver cleaner.¤asthma¤promotes breast milk production (don't use as oil, can ¤cause miscarriage)¤female aphodisiac","","","also called: foeniculum vulgare, sweet fennel","more than 1 tsp of the oil can be toxic","","Herb"
"Fenugreek Seed","Trigonella Foenum-Graecum","allergies, digestion, coughs, headaches, breast","Allergies, coughs, digestion, emphysema, headches,asthma ¤migraines, intestinal inflamation, ulcers, lungs, mucous ¤membranes, sore throat, colds, sinus¤Anemia, water retention, constipation, diarrhea¤blood sugar levels (diabetes), lowers cholesterol¤contains mucilage¤Alzheimer's Disease, antioxidant¤Breast enlargement, estrogen replacement, milk flow","","","","too much may cause abdominal distress","","Herb"
"Unsaturated Fatty Acids","","glandular activity, oxygen to cells, antioxidant","free-radical scavenger¤cell repsiration¤transports oxygen to cells, organs, and tissues","","fats, oil, linolenic acids","also called Vitamin F","","","Vitamin"
"Ginger Root","Zingiber Officinale","circulatory,throat,bowels,motion sick,swelling","circulatory stim.¤Sore throat,chest,expectorant,laryngitis¤Clean kidneys & bowels.¤protect liver¤worms¤Prevent motion sick,settle stomach,digestion,ulcer,nausea¤childhood diseases¤morning sickness¤menstruation,cramps¤Senility,vitality,dyspepsia¤blood thinner,cholesterol,antioxidant,angina,Raynaud's¤appetite loss,vomiting¤arthritis,skin sore,bunion,bursitis¤gland stim.¤colds,fever, antiviral¤dandruff¤depression,erection¤pain,migraine¤External: hives,sciatica","","Far East","spice","none","","Herb"
"Ginkgo Biloba (Maiden Hair Tree)","Ginkgo Biloba","circulation, brain, vitality, impotence, vascular","Supports entire circulatory system, enhance circulation.¤Increase blood/oxygen flow to brain, hangover,tinnitus¤increase mental function, headaches, nervous¤vitality & mental alertness, stroke¤allergies, asthma, diabetes, dizziness, edema, numbness¤erectile dysfunction, eyes, heart, hemorrhoids¤high altitude sick, inflammation, ischemia¤delivery lesions¤vertigo¤sinus¤(blood flow to) retina¤leg ulcers, varicose veins","","China","May interfere with the action of some medicines","dangerous if taking blood thinners","","Herb"
