From: SMG / InTouch Systems <pbielski@interramp.com>
Newsgroups: comp.sys.amiga.misc
Subject: Amiga Authorized Dealer List 03.20.96
Date: Thu, 21 Mar 1996 12:54:02 -0500
Organization: PSI Public Usenet Link
Lines: 236
Message-ID: <315197BA.7A49@interramp.com>
NNTP-Posting-Host: ip34.baltimore.md.interramp.com
Mime-Version: 1.0
Content-Type: text/plain; charset=us-ascii
Content-Transfer-Encoding: 7bit
X-Mailer: Mozilla 2.0 (Win95; I)

Date:     March 20, 1996
To:       All - Please Distribute Widely
Subject:  Authorized Dealers as of March 20, 1996
From:     Service Management Group

This is the latest list of Authorized Dealers for Amiga products. 
Please check frequently for new dealers.

The Amiga Technologies warranty and the SMG extended warranty coverage
apply ONLY to systems purchased through SMG authorized dealers.  Be sure
your dealer is authorized BEFORE you purchase your system.

     Dealer Name                 City           State/Prov    Phone     New

Computer Shop of Calgary, Ltd.  Calgary          AB  CAN  403-243-4356
DayKris Corporation             Didsbury         AB  CAN  403-335-4448
A 1 Computers                   Edmonton         AB  CAN  403-448-0632
Software Supermart              Edmonton         AB  CAN  403-425-0691
Desktop Computing               Red Deer         AB  CAN  403-342-4444
TVI Interactive Systems, Inc.   Burnaby          BC  CAN  604-298-5657
VFX Video, Inc.                 Richmond         BC  CAN  604-244-3000
Richmond Sound Design, Ltd.     Vancouver        BC  CAN  604-664-5860
J.L. Fotovideo Camera Ctrs.     Winnipeg         MB  CAN  204-475-8730
Corey's Computing               Winnipeg         MB  CAN  204-654-3194
Interactive Computer Sys., Ltd. Fredericton      NB  CAN  506-458-8858
Young Monkey Studio             Fredericton      NB  CAN  506-459-7088
Animax Multimedia, Inc.         Dartmouth        NS  CAN  902-468-2629
Simply Software                 Greenwood        NS  CAN  902-765-2534  *
Atlantis Kobetek, Inc.          Halifax          NS  CAN  902-422-6556
Legendary Design Technologies   Brantford        ON  CAN  519-753-6120
The Game Guru                   Chatham          ON  CAN  519-354-7882  *
The Computer & You              Etobicoke        ON  CAN  416-231-0205
Forest Diskasaurus              Forest           ON  CAN  519-786-2454
Visual Vision                   Georgetown       ON  CAN  905-873-4959
Videomation Media Corp.         Gloucester       ON  CAN  613-567-1974
J.L. Fotovideo Camera Ctrs.     Hamilton         ON  CAN  905-575-3000
Altair Electronics, Ltd.        Kingston         ON  CAN  613-384-3876
Zen Computing                   Leamington       ON  CAN  519-322-5893
D.F. Technologies               London           ON  CAN  519-439-3181
Media Innovations               London           ON  CAN  519-434-3210
Cancom Audio Visual Inc.        Markham          ON  CAN  905-470-0466
Computer Express, Inc.          Mississauga      ON  CAN  905-672-5595
Amazing Software & Accessories  Mitchell         ON  CAN  519-393-6270
Amiga North                     North Bay        ON  CAN  705-495-3605
APIX Systems                    North York       ON  CAN  416-750-9909
National Amiga Canada           Oakville         ON  CAN  905-845-1949
Sascom Marketing Group, Inc.    Oakville         ON  CAN  905-469-8080
Media Direct                    Orillia          ON  CAN  705-327-7583
CineReal Pro Video              Ottawa           ON  CAN  613-798-8150
Valley Soft                     Pembroke         ON  CAN  613-732-7700
Atlas Computers & Consulting    Sudbury          ON  CAN  705-522-1923
OBY's Amigo Computing Shop      Sudbury          ON  CAN  705-524-5826
Electronics 2000                Thunder Bay      ON  CAN  807-577-1759
Filer-Tel Electronics           Thunder Bay      ON  CAN  807-622-0100  *
Comspec Communications          Toronto          ON  CAN  416-785-3553
Videolink, Canada               Toronto          ON  CAN  416-690-1690
Randomize Computers             Tottenham        ON  CAN  905-939-8371
AFE Electronics                 Winchester       ON  CAN  613-938-0758
Centre Maxi-Mini                Amos             QU  CAN  819-732-6464
Informatique Richard Lamond     Lac Des 16 Iles  QU  CAN  514-226-7506
Gfx Base Electronics            LaSalle          QU  CAN  514-367-2575
Electromike, Inc.               Quebec           QU  CAN  418-681-4138
Info Plus                       Trois-Rivieres   QU  CAN  819-373-0894
AIDPME - AMIGA                  Vanier           QU  CAN  418-688-4646

System Compbac, Inc.            Tokyo                JPN  81-3383-7868

Community Communications        Christchurch         NZ   64-3384-5024

JTJTi Interactive               Makati City          PI   63-2844-5731

The Computer Image              Birmingham       AL  USA  205-933-8970
Pro Music, Inc.                 Fairbanks        AK  USA  907-456-1994
The Micro Shop, Inc.            Little Rock      AR  USA  501-568-8023
SoftWood, Inc.                  Phoenix          AZ  USA  800-247-8314
Troxell Communications, Inc.    Phoenix          AZ  USA  602-437-7240
Wentek                          Scottsdale       AZ  USA  602-483-7200
