   Obsah abecednêpodle pïíkazû   ## G ##-## I ##             *** 05 ***
   ====================================================================

   Strana  Pïíkaz                Kapitola        Odstavec
   ------  --------------------  --------------  ----------------------
   113     Get Block             Objekty         Bloky a Ikony
    90     Get Bob               Objekty         Boby
   114     Get Cblock            Objekty         Bloky a Ikony
    34     Get Disc Fonts        Zaklady AMOSu   Znakova Sada
    34     Get Fonts             Zaklady AMOSu   Znakova Sada
   111     Get Icon              Objekty         Bloky a Ikony
   112     Get Icon Palette      Objekty         Bloky a Ikony
    58     Get Palette           Obrazovka       Nastaveni Obrazovky
    34     Get Rom Fonts         Zaklady AMOSu   Znakova Sada
    83     Get Sprite            Objekty         Hardwarove Sprity
    84     Get Sprite Palette    Objekty         Hardwarove Sprity
    29     Global                Zaklady AMOSu   Procedury
    33     Gosub                 Zaklady AMOSu   Ridici Struktury
    33     Goto                  Zaklady AMOSu   Ridici Struktury
    74     Gr Locate             Obrazovka       Grafika
    73     Gr Writing            Obrazovka       Grafika

    97     Hard Col              Objekty         Detekce Kolizi
    26     Hcos                  Zaklady AMOSu   Matematicke Funkce
   159     Hex$                  Strojovy Kod    Strojovy Kod
    48     Hide                  Zaklady AMOSu   Mys & Joystick
    48     Hide On               Zaklady AMOSu   Mys & Joystick
    36     Home                  Zaklady AMOSu   Texty
    84     Hot Spot              Objekty         Hardwarove Sprity
    93     Hrev                  Objekty         Boby
   115     Hrev Block            Objekty         Bloky a Ikony
    46     Hscroll               Zaklady AMOSu   Okna
    26     Hsin                  Zaklady AMOSu   Matematicke Funkce
    75     Hslider               Obrazovka       Grafika
    26     Htan                  Zaklady AMOSu   Matematicke Funkce
   160     Hunt                  Strojovy Kod    Strojovy Kod
    82     Hzone                 Obrazovka       Zony pro Objekty

    92     I Bob                 Objekty         Boby
    85     I Sprite              Objekty         Hardwarove Sprity
   112     Icon Base             Objekty         Bloky a Ikony
    81     Icon X (menu)         Obrazovka       Menu - Vnitrni Pïíkazy
   107     If (AMAL)             Objekty         AMAL - Pïíkazy
    31     If...Else...Endif     Zaklady AMOSu   Ridici Struktury
    31     If...Then...Else      Zaklady AMOSu   Ridici Struktury
    98     Iff Anim              Objekty         Animace Iff
    56     Inc                   Zaklady AMOSu   Ruzne...
    71     Ink                   Obrazovka       Grafika
    81     Ink C,T (menu)        Obrazovka       Menu - Vnitrni Pïíkazy
   127     Inkey$                Vstup a Vystup  Klavesnice
   130     Input                 Vstup a Vystup  Klavesnice
   136     Input #               Vstup a Vystup  Disk
   136     Input$                Vstup a Vystup  Disk
   128     Input$                Vstup a Vystup  Klavesnice
    91     Ins Bob               Objekty         Boby
   111     Ins Icon              Objekty         Bloky a Ikony
    86     Ins Sprite            Objekty         Hardwarove Sprity
    22     Instr                 Zaklady AMOSu   Retezce
