   Obsah abecednê podle pïíkazû  ## I ##-## M ##             *** 06 ***
   ====================================================================

   Strana  Pïíkaz                Kapitola        Odstavec
   ------  --------------------  --------------  ----------------------
    27     Int                   Zaklady AMOSu   Matematicke Funkce
    37     Inverse Off           Zaklady AMOSu   Texty
    37     Inverse On            Zaklady AMOSu   Texty

    47     Jdown                 Zaklady AMOSu   Mys & Joystick
    47     Jleft                 Zaklady AMOSu   Mys & Joystick
    47     Joy                   Zaklady AMOSu   Mys & Joystick
   108     Joy (AMAL)            Objekty         AMAL - Pïíkazy
    47     Jright                Zaklady AMOSu   Mys & Joystick
   105     Jump (AMAL)           Objekty         AMAL - Pïíkazy
    47     Jup                   Zaklady AMOSu   Mys & Joystick

   129     Key Shift             Vstup a Vystup  Klavesnice
   127     Key Speed             Vstup a Vystup  Klavesnice
   128     Key State             Vstup a Vystup  Klavesnice
   129     Key$                  Vstup a Vystup  Klavesnice
   131     Kill                  Vstup a Vystup  Disk
   149     Knihovny              Amiga DOS       Knihovny

    58     Laced                 Obrazovka       Nastaveni Obrazovky
   135     Ldir                  Vstup a Vystup  Disk
   135     Ldir/w                Vstup a Vystup  Disk
   116     Led Off               Zvuk            Zvukove Efekty
   116     Led On                Zvuk            Zvukove Efekty
   158     Leek                  Strojovy Kod    Strojovy Kod
    22     Left$                 Zaklady AMOSu   Retezce
    22     Len                   Zaklady AMOSu   Retezce
    51     Lenght                Zaklady AMOSu   Banky Pameti
   106     Let (AMAL)            Objekty         AMAL - Pïíkazy
   149     Libraries             Amiga DOS       Knihovny
    90     Limit Bob             Objekty         Boby
    48     Limit Mouse           Zaklady AMOSu   Mys & Joystick
   130     Line Input            Vstup a Vystup  Klavesnice
   136     Line Input #          Vstup a Vystup  Disk
    81     Line X,Y (menu)       Obrazovka       Menu - Vnitrni Pïíkazy
    50     List Bank             Zaklady AMOSu   Banky Pameti
    27     Ln                    Zaklady AMOSu   Matematicke Funkce
    51     Load                  Zaklady AMOSu   Banky Pameti
    60     Load Iff              Obrazovka       Nastaveni Obrazovky
    38     Locate                Zaklady AMOSu   Texty
    81     Locate X,Y (menu)     Obrazovka       Menu - Vnitrni Pïíkazy
   137     Lof                   Vstup a Vystup  Disk
    27     Log                   Zaklady AMOSu   Matematicke Funkce
    64     Logbase               Obrazovka       Efekty s Obrazovkou
    64     Logic                 Obrazovka       Efekty s Obrazovkou
   158     Loke                  Strojovy Kod    Strojovy Kod
    23     Lower$                Zaklady AMOSu   Retezce
   139     Lprint                Vstup a Vystup  Tiskarna

   112     Make Icon Mask        Objekty         Bloky a Ikony
    96     Make Mask             Objekty         Detekce Kolizi
   100     Mask Iff              Objekty         Animace Iff
    24     Match                 Zaklady AMOSu   Operace s Poli
