   Obsah abecednê podle pïíkazû  ## M ##-## P ##             *** 08 ***
   ====================================================================

   Strana  Pïíkaz                Kapitola        Odstavec
   ------  --------------------  --------------  ----------------------
   121     Mvolume               Zvuk            Hudba

   106     Next (AMAL)           Objekty         AMAL - Pïíkazy
   112     No Icon Mask          Objekty         Bloky a Ikony
    89     No Mask               Objekty         Boby
   117     Noise To              Zvuk            Zvukove Efekty
    55     Not                   Zaklady AMOSu   Ruzne...
    61     Ntsc                  Obrazovka       Nastaveni Obrazovky

   106     On (AMAL)             Objekty         AMAL - Pïíkazy
   155     On Error              Ladeni a Chyby  Ladeni a Chyby
    32     On Gosub              Zaklady AMOSu   Ridici Struktury
    32     On Goto               Zaklady AMOSu   Ridici Struktury
    80     On Menu               Obrazovka       Menu
    80     On Menu Del           Obrazovka       Menu
    80     On Menu Gosub         Obrazovka       Menu
    80     On Menu Goto          Obrazovka       Menu
    80     On Menu Proc          Obrazovka       Menu
    32     On Proc               Zaklady AMOSu   Ridici Struktury
   135     Open In               Vstup a Vystup  Disk
   135     Open Out              Vstup a Vystup  Disk
   137     Open Random           Vstup a Vystup  Disk
    54     Or                    Zaklady AMOSu   Ruzne...
    81     Outline X (menu)      Obrazovka       Menu - Vnitrni Pïíkazy

    67     Pack                  Obrazovka       Efekty s Obrazovkou
    72     Paint                 Obrazovka       Grafika
    57     Palette               Obrazovka       Nastaveni Obrazovky
    36     Paper                 Zaklady AMOSu   Texty
    36     Paper$                Zaklady AMOSu   Texty
   142     Parallel Abort        Vstup a Vystup  Paralelni Port
   143     Parallel Base         Vstup a Vystup  Paralelni Port
   143     Parallel Check        Vstup a Vystup  Paralelni Port
   143     Parallel Close        Vstup a Vystup  Paralelni Port
   143     Parallel Error        Vstup a Vystup  Paralelni Port
   142     Parallel Input$       Vstup a Vystup  Paralelni Port
   142     Parallel Open         Vstup a Vystup  Paralelni Port
   142     Parallel Out          Vstup a Vystup  Paralelni Port
   142     Parallel Send         Vstup a Vystup  Paralelni Port
   143     Parallel Status       Vstup a Vystup  Paralelni Port
   133     Parent                Vstup a Vystup  Disk
    93     Paste Bob             Objekty         Boby
   111     Paste Icon            Objekty         Bloky a Ikony
    81     Pattern X (menu)      Obrazovka       Menu - Vnitrni Pïíkazy
   107     Pause (AMAL)          Objekty         AMAL - Pïíkazy
   157     Peek                  Strojovy Kod    Strojovy Kod
   157     Peek$                 Strojovy Kod    Strojovy Kod
    36     Pen                   Zaklady AMOSu   Texty
    36     Pen$                  Zaklady AMOSu   Texty
    64     Phybase               Obrazovka       Efekty s Obrazovkou
    64     Physic                Obrazovka       Efekty s Obrazovkou
    27     Pi#                   Zaklady AMOSu   Matematicke Funkce
   100     Picture               Objekty         Animace Iff
