   Obsah abecednê podle pïíkazû  ## P ##-## R ##             *** 09 ***
   ====================================================================

   Strana  Prikaz                Kapitola        Odstavec
   ------  --------------------  --------------  ----------------------
   117     Play                  Zvuk            Zvukove Efekty
   108     Play (AMAL)           Objekty         AMAL - Prikazy
   117     Play Off              Zvuk            Zvukove Efekty
   161     Pload                 Strojovy Kod    Strojovy Kod
    71     Plot                  Obrazovka       Grafika
   137     Pof                   Vstup a Vystup  Disk
    71     Point                 Obrazovka       Grafika
   157     Poke                  Strojovy Kod    Strojovy Kod
   157     Poke$                 Strojovy Kod    Strojovy Kod
    73     Polygon               Obrazovka       Grafika
    72     Polyline              Obrazovka       Grafika
    33     Pop                   Zaklady AMOSu   Ridici Struktury
   154     Port                  Amiga DOS       Zarizeni (devices)
    42     Print                 Zaklady AMOSu   Texty
   136     Print #               Vstup a Vystup  Disk
   140     Printer Abort         Vstup a Vystup  Tiskarna
   141     Printer Base          Vstup a Vystup  Tiskarna
   140     Printer Check         Vstup a Vystup  Tiskarna
   139     Printer Close         Vstup a Vystup  Tiskarna
   140     Printer Dump          Vstup a Vystup  Tiskarna
   141     Printer Error         Vstup a Vystup  Tiskarna
   141     Printer Online        Vstup a Vystup  Tiskarna
   139     Printer Open          Vstup a Vystup  Tiskarna
   140     Printer Out           Vstup a Vystup  Tiskarna
   139     Printer Send          Vstup a Vystup  Tiskarna
    91     Priority Off          Objekty         Boby
    91     Priority On           Objekty         Boby
    91     Priority Reverse Off  Objekty         Boby
    91     Priority Reverse On   Objekty         Boby
    29     Proc                  Zaklady AMOSu   Procedury
    81     Proc (menu)           Obrazovka       Menu - Vnitrni Prikazy
    29     Procedure             Zaklady AMOSu   Procedury
   138     Put                   Vstup a Vystup  Disk
   113     Put Block             Objekty         Bloky a Ikony
    90     Put Bob               Objekty         Boby
   114     Put Cblock            Objekty         Bloky a Ikony
   127     Put Key               Vstup a Vystup  Klavesnice

    28     Radian                Zaklady AMOSu   Matematicke Funkce
    70     Rain                  Obrazovka       Efekty s Obrazovkou
    69     Rainbow               Obrazovka       Efekty s Obrazovkou
    28     Randomize             Zaklady AMOSu   Matematicke Funkce
    54     Read                  Zaklady AMOSu   Ruzne...
   106     Register (AMAL)       Objekty         AMAL - Prikazy
    21     Rem                   Zaklady AMOSu   Nastaveni
    40     Remember X            Zaklady AMOSu   Texty
    40     Remember Y            Zaklady AMOSu   Texty
   131     Rename                Vstup a Vystup  Disk
    42     Repeat$               Zaklady AMOSu   Texty
    30     Repeat...Until        Zaklady AMOSu   Ridici Struktury
    50     Reserve               Zaklady AMOSu   Banky Pameti
    81     Reserve X (menu)      Obrazovka       Menu - Vnitrni Prikazy
    82     Reserve Zone          Obrazovka       Zony pro Objekty
