   Obsah abecednê podle pïíkazû  ## R ##-## S ##             *** 10 ***
   ====================================================================

   Strana  Pïíkaz                Kapitola        Odstavec
   ------  --------------------  --------------  ----------------------
    82     Reset Zone            Obrazovka       Zony pro Objekty
    54     Restore               Zaklady AMOSu   Ruzne...
   155     Resume                Ladeni a Chyby  Ladeni a Chyby
   156     Resume Label          Ladeni a Chyby  Ladeni a Chyby
   156     Resume Next           Ladeni a Chyby  Ladeni a Chyby
    33     Return                Zaklady AMOSu   Ridici Struktury
    93     Rev                   Objekty         Boby
    23     Right$                Zaklady AMOSu   Retezce
    28     Rnd                   Zaklady AMOSu   Matematicke Funkce
   158     Rol                   Strojovy Kod    Strojovy Kod
   158     Ror                   Strojovy Kod    Strojovy Kod
   134     Run                   Vstup a Vystup  Disk
    53     Run                   Zaklady AMOSu   Beh Programu

   124     Sam Bank              Zvuk            Vzorky (samply)
   125     Sam Loop Off          Zvuk            Vzorky (samply)
   125     Sam Loop On           Zvuk            Vzorky (samply)
   124     Sam Play              Zvuk            Vzorky (samply)
   124     Sam Raw               Zvuk            Vzorky (samply)
   126     Sam Ssave             Zvuk            Vzorky (samply)
   125     Sam Stop              Zvuk            Vzorky (samply)
   126     Sam Swap              Zvuk            Vzorky (samply)
   126     Sam Swapped           Zvuk            Vzorky (samply)
   116     Sample                Zvuk            Zvukove Efekty
    51     Save                  Zaklady AMOSu   Banky Pameti
    60     Save Iff              Obrazovka       Nastaveni Obrazovky
   119     Say                   Zvuk            Rec
   128     Scan Shift            Vstup a Vystup  Klavesnice
   130     Scan$                 Vstup a Vystup  Klavesnice
   128     Scancode              Vstup a Vystup  Klavesnice
    61     Scin                  Obrazovka       Nastaveni Obrazovky
    63     Screen                Obrazovka       Nastaveni Obrazovky
    61     Screen                Obrazovka       Nastaveni Obrazovky
    66     Screen Base           Obrazovka       Efekty s Obrazovkou
    63     Screen Clone          Obrazovka       Nastaveni Obrazovky
    59     Screen Close          Obrazovka       Nastaveni Obrazovky
    61     Screen Colour         Obrazovka       Nastaveni Obrazovky
    66     Screen Copy           Obrazovka       Efekty s Obrazovkou
    59     Screen Display        Obrazovka       Nastaveni Obrazovky
    61     Screen Height         Obrazovka       Nastaveni Obrazovky
    62     Screen Hide           Obrazovka       Nastaveni Obrazovky
    59     Screen Offset         Obrazovka       Nastaveni Obrazovky
    58     Screen Open           Obrazovka       Nastaveni Obrazovky
    62     Screen Show           Obrazovka       Nastaveni Obrazovky
    64     Screen Swap           Obrazovka       Efekty s Obrazovkou
    60     Screen To Back        Obrazovka       Nastaveni Obrazovky
    60     Screen To Front       Obrazovka       Nastaveni Obrazovky
    61     Screen Width          Obrazovka       Nastaveni Obrazovky
    66     Scroll                Obrazovka       Efekty s Obrazovkou
    46     Scroll Off            Zaklady AMOSu   Okna
    46     Scroll On             Zaklady AMOSu   Okna
   148     Serial Abort          Vstup a Vystup  Seriovy Port
   147     Serial Base           Vstup a Vystup  Seriovy Port
