   Obsah abecednê podle pïíkazû  ## S ##-## S ##             *** 11 ***
   ====================================================================

   Strana  Pïíkaz                Kapitola        Odstavec
   ------  --------------------  --------------  ----------------------
   146     Serial Bits           Vstup a Vystup  Seriovy Port
   146     Serial Buf            Vstup a Vystup  Seriovy Port
   147     Serial Check          Vstup a Vystup  Seriovy Port
   144     Serial Close          Vstup a Vystup  Seriovy Port
   147     Serial Error          Vstup a Vystup  Seriovy Port
   147     Serial Fast           Vstup a Vystup  Seriovy Port
   145     Serial Get            Vstup a Vystup  Seriovy Port
   145     Serial Input$         Vstup a Vystup  Seriovy Port
   144     Serial Open           Vstup a Vystup  Seriovy Port
   145     Serial Out            Vstup a Vystup  Seriovy Port
   146     Serial Parity         Vstup a Vystup  Seriovy Port
   145     Serial Send           Vstup a Vystup  Seriovy Port
   147     Serial Slow           Vstup a Vystup  Seriovy Port
   145     Serial Speed          Vstup a Vystup  Seriovy Port
   148     Serial Status         Vstup a Vystup  Seriovy Port
   146     Serial X              Vstup a Vystup  Seriovy Port
    92     Set Bob               Objekty         Boby
    21     Set Buffer            Zaklady AMOSu   Nastaveni
    40     Set Curs              Zaklady AMOSu   Texty
   133     Set Dir               Vstup a Vystup  Disk
   118     Set Envel             Zvuk            Zvukove Efekty
    34     Set Font              Zaklady AMOSu   Znakova Sada
    97     Set Hardcol           Objekty         Detekce Kolizi
   136     Set Input             Vstup a Vystup  Disk
    72     Set Line              Obrazovka       Grafika
    78     Set Menu              Obrazovka       Menu
    73     Set Paint             Obrazovka       Grafika
    73     Set Pattern           Obrazovka       Grafika
    69     Set Rainbow           Obrazovka       Efekty s Obrazovkou
    75     Set Slider            Obrazovka       Grafika
    85     Set Sprite Buffer     Objekty         Hardwarove Sprity
    41     Set Tab               Zaklady AMOSu   Texty
   119     Set Talk              Zvuk            Rec
    74     Set Tempras           Obrazovka       Grafika
    35     Set Text              Zaklady AMOSu   Znakova Sada
   117     Set Wave              Zvuk            Zvukove Efekty
    82     Set Zone              Obrazovka       Zony pro Objekty
    81     Sfont X (menu)        Obrazovka       Menu - Vnitrni Pïíkazy
    28     Sgn                   Zaklady AMOSu   Matematicke Funkce
    37     Shade Off             Zaklady AMOSu   Texty
    37     Shade On              Zaklady AMOSu   Texty
    29     Shared                Zaklady AMOSu   Procedury
    65     Shift Down            Obrazovka       Efekty s Obrazovkou
    65     Shift Off             Obrazovka       Efekty s Obrazovkou
    65     Shift Up              Obrazovka       Efekty s Obrazovkou
   116     Shoot                 Zvuk            Zvukove Efekty
    48     Show                  Zaklady AMOSu   Mys & Joystick
    48     Show On               Zaklady AMOSu   Mys & Joystick
    28     Sin                   Zaklady AMOSu   Matematicke Funkce
    81     Sline X (menu)        Obrazovka       Menu - Vnitrni Pïíkazy
   125     Sload                 Zvuk            Vzorky (samply)
    24     Sort                  Zaklady AMOSu   Operace s Poli
    23     Space$                Zaklady AMOSu   Retezce
