   Obsah abecednê podle pïíkazû  ## S ##-## U ##             *** 12 ***
   ====================================================================

   Strana  Pïíkaz                Kapitola        Odstavec
   ------  --------------------  --------------  ----------------------
    67     Spack                 Obrazovka       Efekty s Obrazovkou
    83     Sprite                Objekty         Hardwarove Sprity
    86     Sprite Base           Objekty         Hardwarove Sprity
    96     Sprite Bob Col        Objekty         Detekce Kolizi
    96     Sprite Col            Objekty         Detekce Kolizi
   109     Sprite Col (AMAL)     Objekty         AMAL - Pïíkazy
    85     Sprite Off            Objekty         Hardwarove Sprity
    87     Sprite Priority       Objekty         Hardwarove Sprity
    87     Sprite Update         Objekty         Hardwarove Sprity
    87     Sprite Update Off     Objekty         Hardwarove Sprity
    87     Sprite Update On      Objekty         Hardwarove Sprity
    88     Sprity vypocitane     Objekty         Hardwarove Sprity
    28     Sqr                   Zaklady AMOSu   Matematicke Funkce
    81     Sstyle X (menu)       Obrazovka       Menu - Vnitrni Pïíkazy
    50     Start                 Zaklady AMOSu   Banky Pameti
    53     Stop                  Zaklady AMOSu   Beh Programu
    23     Str$                  Zaklady AMOSu   Retezce
    23     String$               Zaklady AMOSu   Retezce
    29     Swap                  Zaklady AMOSu   Matematicke Funkce
   104     Synchro               Objekty         AMAL - Pouziti
   104     Synchro Off           Objekty         AMAL - Pouziti
   104     Synchro On            Objekty         AMAL - Pouziti
   149     System                Amiga DOS       Systemove Pïíkazy

    41     Tab$                  Zaklady AMOSu   Texty
   119     Talk Misc             Zvuk            Rec
   120     Talk Stop             Zvuk            Rec
    29     Tan                   Zaklady AMOSu   Matematicke Funkce
   121     Tempo                 Zvuk            Hudba
    35     Text                  Zaklady AMOSu   Znakova Sada
    35     Text Base             Zaklady AMOSu   Znakova Sada
    35     Text Lenght           Zaklady AMOSu   Znakova Sada
    35     Text Style            Zaklady AMOSu   Znakova Sada
    55     Timer                 Zaklady AMOSu   Ruzne...
    44     Title Bottom          Zaklady AMOSu   Okna
    44     Title Top             Zaklady AMOSu   Okna
   107     To (AMAL)             Objekty         AMAL - Pïíkazy
   123     Track Load            Zvuk            Tracker
   123     Track Loop Off        Zvuk            Tracker
   123     Track Loop On         Zvuk            Tracker
   123     Track Play            Zvuk            Tracker
   123     Track Stop            Zvuk            Tracker
   156     Trap                  Ladeni a Chyby  Ladeni a Chyby
    55     True                  Zaklady AMOSu   Ruzne...

    37     Under Off             Zaklady AMOSu   Texty
    37     Under On              Zaklady AMOSu   Texty
    94     Unfreeze              Objekty         Update Objektu
   104     Unfreeze (STOS)       Objekty         AMAL - Pouziti
    67     Unpack                Obrazovka       Efekty s Obrazovkou
    94     Update                Objekty         Update Objektu
   103     Update Every          Objekty         AMAL - Pouziti
    94     Update Off            Objekty         Update Objektu
