   Obsah abecednê podle pïíkazû  ## Y ##-## Z ##             *** 14 ***
   ====================================================================

   Strana  Pïíkaz                Kapitola        Odstavec
   ------  --------------------  --------------  ----------------------
    78     Y Menu                Obrazovka       Menu
    49     Y Mouse               Zaklady AMOSu   Mys & Joystick
   107     Y Mouse (AMAL)        Objekty         AMAL - Pïíkazy
    86     Y Screen              Objekty         Hardwarove Sprity
   109     Y Screen (AMAL)       Objekty         AMAL - Pïíkazy
    85     Y Sprite              Objekty         Hardwarove Sprity
    38     Y Text                Zaklady AMOSu   Texty
    71     Ygr                   Obrazovka       Grafika

   108     Zandom (AMAL)         Objekty         AMAL - Pïíkazy
    82     Zone                  Obrazovka       Zony pro Objekty
    41     Zone$                 Zaklady AMOSu   Texty
    70     Zoom                  Obrazovka       Efekty s Obrazovkou

