Achterwehr                               04340
Adelberg                                 07166
Aerzen                                   05154
Ahausen.Kirchw.                          04269
Ahlbeck                                  039775
Ahlerstedt                               04166
Ahrensburg                               04102
Ahrensbök                                04525
Albersdorf-Holstein                      04835
Albstadt-Ebingen                         07431
Albstadt-Tailfingen                      07423
Alfeld                                   05181
Algermissen                              05126
Alpirsbach                               07444
Alt Duvenstedt                           04338
Altenau                                  05328
Altenbruch (Cuxhaven)                    04722
Altenmedingen                            05807
Altensteig Württ.                        07453
Altentreptow                             03961
Altenwalde (Cuxhaven)                    04723
Altkalen                                 039973
Amelinghausen                            04132
Ammerbuch                                07073
Amrum                                    04682
Angelbachtal                             07265
Ankershagen                              039921
Anklam                                   03971
Apensen                                  04167
Ascheberg (Schleswig-Holstein)           04526
Ascheffel                                04353
Augustdorf                               05237
Aukrug                                   04873
Aumühle                                  04104
Backnang                                 07191
Bad Bevensen                             05821
Bad Bramstedt                            04192
Bad Doberan                              038203
Bad Friedrichshall                       07136
Bad Gandersheim                          05382
Bad Grund                                05327
Bad Harzburg                             05322
Bad Herrenalb                            07083
Bad Kleinen                              03842
Bad Liebenzell                           07052
Bad Münder                               05042
Bad Oldesloe                             04531
Bad Pyrmont                              05281
Bad Rappenau                             07264
Bad Rappenau-Bonfeld                     07066
Bad Rappenau-Übergimpern                 07268
Bad Rehburg                              05037
Bad Schönborn                            07253
Bad Segeberg                             04551
Bad Sültz                                038229
Bad Teinach-Zavelstein                   07053
Bad Urach                                07125
Bad Wimpfen                              07063
Bad-Salzdetfurth                         05063
Baddeckenstedt                           05345
Baden-Baden                              07221
Bahrdorf-Mackendorf                      05358
Baiersbronn                              07422
Balingen                                 07433
Balje                                    04753
Barderup                                 04630
Barendorf                                04137
Bargteheide                              04532
Barit                                    04857
Barmstedt                                04123
Barntrup                                 05363
Barsinghausen                            05105
Barth                                    038231
Barum-Bad Bevensen                       05806
Basdahl                                  04766
Basthorst                                04159
Bederkesa                                04745
Beedenbostel                             05145
Beilstein Württ.                         07062
Bendingborstel                           04237
Bergen                                   05051
Bergen (Rügen)                           03838
Bergen Dumme                             05845
Bergen-Sülze                             05054
Bergenhusen                              04885
Berkenthin                               04544
Besigheim                                07143
Betzendorf                               04138
Bevern                                   04767
Beverstedt                               04747
Beverungen                               05273
Bieckede-Brackede                        05857
Bienenbüttel                             05823
Bietigheim-Bissingen                     07142
Binz                                     038393
Bispingen                                05194
Bispingen bei Hechingen                  07476
Blankenmoor                              04837
Bleckede                                 05852
Bleckede-Barskamp                        05854
Blender                                  04233
Blomberg                                 05235
Blomberg-Großenmarpe                     05236
Blunk                                    04557
Bockenem                                 05067
Bodenburg                                05060
Bodenteich                               05824
Boizenburg                               038847
Bokhorst                                 04394
Boll Kr.Göppingen                        07164
Boostedt                                 04393
Bordesholm                               04322
Borkenfriede                             039777
Born (Darß)                              038234
Bornhöved                                04323
Bosau                                    04527
Brackenheim                              07135
Braunschweig-Wenden                      05307
Brauschweig                              0531
Bredenbek(Rendsburg)                     04334
Bredstedt                                04671
Bremen                                   0421
Bremerhaven                              0471
Bremervörde                              04761
Bretten Baden                            07252
Brockel  (Rotenburg-Wümme)               04266
Brokstedt                                04324
Brome                                    05833
Bruchsal                                 07251
Bruchsal-Untergrombach                   07257
Brunsbüttel                              04852
Brüel                                    038483
Buchholz (NH)                            04181
Bujendorf                                04529
Burg (Fehmarn)                           04371
Burg Stagard                             039603
Burg-Dith                                04825
Burgdor.-Ehlershau.                      05085
Burgdorf                                 05136
Burgdorf                                 05347
Burgwedel                                05139
Burgwedel-Fuhrberg                       05135
Burladingen                              07457
Burladingen-Melchingen                   07126
Butjadingen                              04733
Buxtehude                                04161
Böblingen,Sindelfingen                   07031
Böklund                                  04623
Bötersen                                 04268
Büchen                                   04155
Bühl   Baden                             07223
Bühl Baden-Sand                          07226
Bühnsdorf                                04550
Bülkau                                   04754
Büsum                                    04834
Bützfleth                                04146
Bützow                                   038461
Cadenberge                               04777
Calw                                     07051
Cambs                                    03866
Carlow                                   038873
Celle                                    05141
Celle-Scheuen                            05086
Christiansholm                           04339
Clausthal-Zellereld                      0532
Clenze                                   05844
Copenbrügge                              05156
Copenbrügge-Bisperode                    05159
Cremlingen                               0530
Crivitz                                  03863
Cumblosen                                03879
Cuxhaven                                 04721
Dabel                                    038485
Dagebüll                                 04667
Dahlenburg                               05851
Dahme (Schleawig-Holstein)               04364
Dambeck                                  039922
Damp                                     04352
Dannenberg                               05861
Dargun                                   039959
Delligsen                                05187
Demen                                    038488
Demmin                                   03998
Detmold                                  05231
Dettum                                   05333
Dierhagen                                038226
Ditzingen                                07156
Donaueschingen                           0771
Dornhan                                  07455
Dorum                                    04742
Drage (Elbe)                             04177
